source_s_id	output_s_ids	status	reason
S97_1	S97_1	included	source_record_preserved
S96_1	S96_1	included	source_record_preserved
S95_1	S95_1	included	source_record_preserved
S94_1	S94_1	included	source_record_preserved
S93_1	S93_1	included	source_record_preserved
S92_1	S92_1	included	source_record_preserved
S91_1	S91_1	included	source_record_preserved
S90_1	S90_1	included	source_record_preserved
S89_1	S89_1	included	source_record_preserved
S88_1	S88_1	included	source_record_preserved
S87_1	S87_1	included	source_record_preserved
S86_1	S86_1	included	source_record_preserved
S85_1	S85_1	included	source_record_preserved
S84_1	S84_1	included	source_record_preserved
S83_1	S83_1	included	source_record_preserved
S82_1	S82_1	included	source_record_preserved
S81_1	S81_1	included	source_record_preserved
S80_1	S80_1	included	source_record_preserved
S79_1	S79_1	included	source_record_preserved
S78_1	S78_1	included	source_record_preserved
S77_1	S77_1	included	source_record_preserved
S76_1	S76_1	included	source_record_preserved
S75_1	S75_1	included	source_record_preserved
S74_1	S74_1	included	source_record_preserved
S73_1	S73_1	included	source_record_preserved
S72_1	S72_1	included	source_record_preserved
S71_1	S71_1	included	source_record_preserved
S70_1	S70_1	included	source_record_preserved
S69_1	S69_1	included	source_record_preserved
S68_1	S68_1	included	source_record_preserved
S67_1	S67_1	included	source_record_preserved
S65_1	S65_1	included	source_record_preserved
S64_1	S64_1	included	source_record_preserved
S63_1	S63_1	included	source_record_preserved
S62_1	S62_1	included	source_record_preserved
S61_1	S61_1	included	source_record_preserved
S60_1	S60_1	included	source_record_preserved
S59_1	S59_1	included	source_record_preserved
S58_1	S58_1	included	source_record_preserved
S57_1	S57_1	included	source_record_preserved
S56_1	S56_1	included	source_record_preserved
S55_1	S55_1	included	source_record_preserved
S54_1	S54_1	included	source_record_preserved
S53_1	S53_1	included	source_record_preserved
S52_1	S52_1	included	source_record_preserved
S51_1	S51_1	included	source_record_preserved
S50_1	S50_1	included	source_record_preserved
S49_1	S49_1	included	source_record_preserved
S48_1	S48_1	included	source_record_preserved
S47_1	S47_1	included	source_record_preserved
S46_1	S46_1	included	source_record_preserved
S45_1	S45_1	included	source_record_preserved
S44_1	S44_1	included	source_record_preserved
S43_1	S43_1	included	source_record_preserved
S42_1	S42_1	included	source_record_preserved
S41_1	S41_1	included	source_record_preserved
S40_1	S40_1	included	source_record_preserved
S39_1	S39_1	included	source_record_preserved
S38_1	S38_1	included	source_record_preserved
S37_1	S37_1	included	source_record_preserved
S36_1	S36_1	included	source_record_preserved
S35_1	S35_1	included	source_record_preserved
S34_1	S34_1	included	source_record_preserved
S33_1	S33_1	included	source_record_preserved
S32_1	S32_1	included	source_record_preserved
S31_1	S31_1	included	source_record_preserved
S30_1	S30_1	included	source_record_preserved
S29_1	S29_1	included	source_record_preserved
S28_1	S28_1	included	source_record_preserved
S27_1	S27_1	included	source_record_preserved
S26_1	S26_1	included	source_record_preserved
S25_1	S25_1	included	source_record_preserved
S24_1	S24_1;S24_1b	expanded_source_alternatives	split_qali_drava
S23_1	S23_1	included	source_record_preserved
S22_1	S22_1	included	source_record_preserved
S21_1	S21_1	included	source_record_preserved
S20_1	S20_1	included	source_record_preserved
S19_1	S19_1	included	source_record_preserved
S18_1	S18_1	included	source_record_preserved
S17_1	S17_1	included	source_record_preserved
S16_1	S16_1	included	source_record_preserved
S15_1	S15_1	included	source_record_preserved
S14_1	S14_1	included	source_record_preserved
S13_1	S13_1	included	source_record_preserved
S12_1	S12_1	included	source_record_preserved
S11_1	S11_1	included	source_record_preserved
S10_1	S10_1	included	source_record_preserved
S9_1	S9_1	included	source_record_preserved
S8_1	S8_1	included	source_record_preserved
S7_1	S7_1	included	source_record_preserved
S6_1	S6_1	included	source_record_preserved
S5_1	S5_1	included	source_record_preserved
S4_1	S4_1	included	source_record_preserved
S3_1	S3_1	included	source_record_preserved
S2_1	S2_1	included	source_record_preserved
S1_1	S1_1	included	source_record_preserved
