xml_path,validator_rule,action,element_tag,xml_id,field_tag,field_kind,before_sha256,after_sha256
Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Laniahu_S_26_W4,FORM,,8924c7a33aa819c8d7511137577df23a8d1fec598c1fece523805b9afeebf9c1,
Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Laniahu_S_83_W0,FORM,,9fcc3597abf5abcfb6c81ef0e64098901871e02f57f4bdc8bb2cdcda165fcc8c,
Stories/Bunun/Bunun_bnNr-frog_Talum.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Talum_S_0_W5,FORM,,3624b363127aee7f9392f57ea26c8c94b4e109294ef7ad483e1d981d3d0d0f1a,
Stories/Bunun/Bunun_bnNr-frog_Talum.xml,V121,remove_annotated_lexical_unit,W,bnNr-frog_Talum_S_28_W13,FORM,,26e0d4096b4b761e739f1162af155afac93ccbf12a51612db9a6315174131f58,
Stories/Bunun/Bunun_bnNr-pear_Hanaivaz.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Hanaivaz_S_8_W7,FORM,,87a8260a0a247f75ad5ae1e3cddd69fed792d8193264163b2dfb55760933a963,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_15_W2,FORM,,d55cde8111e99cc1251e55204f0aa119ad7ca87ac95bccd127570d04dc615286,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_18_W3,FORM,,4789e3d7d68f90e2c714c50a969f55ecdd77890c939e418fd287d8221af51e12,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_44_W2,FORM,,13d4ad1e1493c36b4047bd88b942298205d1e8be9e800eb78c197f515f030aa7,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_50_W23,FORM,,99f4e3747fb65d21c2647ada63e11ab96bd6126dff0409e1b0b7f3bc7e7052e4,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_54_W17,FORM,,27677787a4c473e579517ad39c170fca909c4f94eff39a22119aff2ea7e8b5e3,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_54_W19,FORM,,552139a63fab2962fc1249105385dd1f66acb7b935ae045054183c661f38c921,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_70_W6,FORM,,f3560ef5282fc9f356856106caba0ad76e1567fd470396c6a092459e949f6ba6,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_70_W7,FORM,,04fdd0c340ab79966b7eebf4dab1f435111709cefb3f74d8006eba86838cf73d,
Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,V121,remove_annotated_lexical_unit,W,bnNr-pear_Laniahu_S_77_W15,FORM,,3aa380beb9c8a87ec6d4d7043b651fb58a8b15fdef8c6dbbbdf576a92ccb9fb5,
