rule_id,file,s_id,character,position
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄋ,779
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄌ,780
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄍ,781
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄏ,782
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄨ,783
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄧ,784
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄚ,785
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄙ,786
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄦ,787
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄜ,788
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄠ,789
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patas_Suyang_Kari_Truku.xml,0,ㄞ,790
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Belarus.xml,0,ˈ,656
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Belarus.xml,0,ˈ,693
c007,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Patis_hengak_kkklangan.xml,0,ㄩ,1305
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Denis_Sassou_Nguesso.xml,0,ˈ,309
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Juan_Orlando_Hernández.xml,0,ˈ,386
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Juan_Orlando_Hernández.xml,0,ˈ,395
c002b,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/Corpora/Wikipedias/XML/Seediq/Juan_Orlando_Hernández.xml,0,ˈ,407
